primitive_id,region_id,food_x,food_y,drag_length,score,max_pos_error,max_tilt_error,preview_max_tilt,min_sigma,max_condition,max_contact,head_drop_pre,head_drop_engage,head_drop_drag_start,head_drop_drag_end,min_head_drop,max_head_drop_error
R05_00416,5,0.091,0.18293333333333336,0.05,14.937214748033961,0.017589898687478994,0.6102033574185788,0.6102033574185788,0.0467563265303165,9.613288513748413,0,0.07496451801574047,0.07888994594386992,0.0769500329406276,0.04297465232679536,0.04297465232679536,0.0
R05_00041,5,0.0364,0.15866666666666668,0.035,14.938557073549006,0.017479584360494484,0.6101318630903495,0.6101318630903495,0.061041766465194165,7.615060317843769,0,0.07493205628770985,0.07889891133298804,0.07695786097244257,0.05029536430072751,0.05029536430072751,0.0
R05_00281,5,0.0728,0.18293333333333336,0.05,14.942794529610989,0.0175944204887263,0.609327314557302,0.609327314557302,0.05198200377329289,8.71945855462473,0,0.07475745469166686,0.0788507397325228,0.07690973441732372,0.042952604052738305,0.042952604052738305,0.0
R05_00004,5,0.0182,0.18293333333333336,0.035,14.944425060775748,0.01754423009538788,0.6099311209153381,0.6099311209153381,0.05974892747699196,7.859327327735939,0,0.0749622178957356,0.07890587158046661,0.07696447221619222,0.050301890396654114,0.050301890396654114,0.0
R05_00080,5,0.0364,0.20720000000000002,0.05,14.946842210839637,0.01756753817285849,0.6095064450613877,0.6095064450613877,0.053321055312259176,9.250389148139833,0,0.0748256001523602,0.07886644874024897,0.07692578940947506,0.04296443283314276,0.04296443283314276,0.0
R05_00315,5,0.0728,0.20720000000000002,0.07,14.94745052656556,0.017944835527293056,0.5955249254389947,0.5955249254389947,0.053458287811403785,9.209243788262981,0,0.06687893542662524,0.0774773200199475,0.07554979135314693,0.03641404707593779,0.03641404707593779,0.003121064573374771
R05_00000,5,0.0182,0.15866666666666668,0.035,14.949589588232863,0.017625108280942433,0.6109231752641854,0.6109231752641854,0.05719589173220637,8.317757106389116,0,0.07494089002841364,0.07889392093167341,0.07695681936878064,0.050318396853284236,0.050318396853284236,0.0
R05_00230,5,0.0546,0.25573333333333337,0.035,14.951081925162427,0.017663302759597658,0.6104678432693206,0.6104678432693206,0.009407547870439719,61.94748097443623,0,0.07497586628687389,0.07884857807132274,0.07757445557222,0.056608795800967726,0.056608795800967726,0.0
R05_00136,5,0.0546,0.15866666666666668,0.035,14.952259061503044,0.017465144535856326,0.6099773605019168,0.6099773605019168,0.06096977408888101,7.465782318584397,0,0.07499398777999622,0.07890487551612099,0.07696390108129386,0.05029776200820077,0.05029776200820077,0.0
R05_00413,5,0.091,0.18293333333333336,0.05,14.952887916430702,0.01779368260833111,0.6201163492821073,0.6201163492821073,0.05483114814500913,8.854718031150265,0,0.07901111233914414,0.07974012699442029,0.07779843578901989,0.042397102480908666,0.042397102480908666,0.0
R05_00494,5,0.091,0.25573333333333337,0.05,14.954549174839666,0.017907580217783086,0.6289321837503536,0.6289321837503536,0.043730475031935875,11.984597760394664,0,0.07276027246202718,0.0786102624991568,0.07669358036050773,0.04390584875983389,0.04390584875983389,0.0
R05_00391,5,0.091,0.15866666666666668,0.05,14.95636212151913,0.01757159495314397,0.6092412931005126,0.6092412931005126,0.05028172633750765,8.740388108326103,0,0.07453828525753839,0.07879661776399705,0.07685732741952782,0.042924236615465516,0.042924236615465516,0.0
R05_00061,5,0.0364,0.18293333333333336,0.05,14.95948293256842,0.01791320359493254,0.6088209872232754,0.6088209872232754,0.055224109394648495,8.809753418170857,0,0.0747316948353208,0.07878741151319019,0.07684725419816796,0.04292533215101249,0.04292533215101249,0.0
R05_00166,5,0.0546,0.18293333333333336,0.05,14.961426090289908,0.017569315272220096,0.6099278145568783,0.6099278145568783,0.05326383575805079,8.299035847698459,0,0.07491241184231151,0.07888982004373588,0.07694850516228773,0.042973312578232725,0.042973312578232725,0.0
R05_00185,5,0.0546,0.20720000000000002,0.05,14.961842860774015,0.017752058707646547,0.5979742709907666,0.5979742709907666,0.04947591242765076,10.153783729362843,0,0.06674496462727258,0.07744630702951938,0.07553143490088322,0.04221870881259093,0.04221870881259093,0.0032550353727274217
